word,frequency
abandonnames,0.27
abandonnerai,0.41
abandonneras,0.2
abandonnerez,0.0
abandonneurs,0.07
abandonnions,0.54
abandonnique,0.07
abetissement,0.54
abolissaient,0.41
abominations,1.49
aborderaient,0.07
abouchements,0.07
aboutiraient,0.14
aboutissants,0.81
aboutissions,0.07
abreviations,0.54
abrutissante,0.27
abrutissants,0.0
abrutissions,0.07
abstiendrais,0.0
abstiendrait,0.07
abstiendrons,0.0
abstiendront,0.0
abstractions,0.88
abyssinienne,0.0
academiciens,0.81
accablements,0.14
accaparaient,0.34
accaparerait,0.07
accastillage,0.14
accederaient,0.14
acceleraient,0.41
accelerateur,3.52
acceleration,2.64
accelererait,0.07
accelererent,0.2
accentuaient,1.22
accentuation,0.14
accentuerait,0.07
accentuerent,0.2
acceptassent,0.07
acceptations,0.2
accepterions,0.34
accessoirise,0.0
accidentelle,1.28
acclamations,4.39
accointances,0.68
accommodante,0.2
accommodants,0.07
accommoderai,0.14
accommoderez,0.0
accommodions,0.07
accompagnais,1.76
accompagnait,15.68
accompagnant,5.27
accompagnees,2.0999999999999996
accompagnent,4.05
accompagnera,0.61
accompagniez,0.07
accompagnons,0.27
accomplirais,0.14
accomplirait,0.47
accomplirent,0.27
accomplirons,0.14
accompliront,0.07
accomplissez,0.0
accordailles,0.07
accordassent,0.14
accouchaient,0.2
accouchement,3.24
accoucherait,0.07
accouplaient,0.27
accouplement,1.69
accouplerait,0.07
accouplerent,0.07
accoupleront,0.0
accourraient,0.14
accourussent,0.07
accoutrement,2.09
accoutumance,1.28
accrochaient,4.73
accrocherais,0.2
accrocherait,0.07
accrocherent,0.61
accrocheriez,0.07
accrocheront,0.0
accrocheuses,0.07
accroupirent,0.47
accueillante,2.09
accueillants,0.88
accueillerai,0.07
accueilleras,0.0
accueillerez,0.07
acculeraient,0.07
accumulaient,1.76
accumulateur,0.07
accumulation,3.72
accumulerent,0.14
accusatrices,0.07
accuseraient,0.14
acharnements,0.14
acheminaient,0.27
acheminement,0.47
acheminerent,0.14
achemineront,0.07
acheteraient,0.41
acheveraient,0.14
acquerraient,0.14
acquisitions,0.95
acquittaient,0.2
acquittement,0.34
acquitterais,0.0
acquitterait,0.07
acrimonieuse,0.07
acrobatiques,0.41
actionnaient,0.41
actionnaires,0.47
actionnariat,0.0
actionnement,0.07
actionneront,0.07
actuellement,16.69
adaptabilite,0.0
additionnais,0.07
additionnait,0.07
additionnant,0.34
additionnees,0.27
additionnels,0.0
additionnent,0.2
adequatement,0.0
adjudication,0.14
admettraient,0.14
administrais,0.14
administrait,0.74
administrant,0.34
administrees,0.35000000000000003
administrent,0.34
administrera,0.07
admiratrices,0.68
adolescences,0.07
adolescentes,2.16
adopteraient,0.14
adorablement,0.27
adoucisseurs,0.14
adressassent,0.07
adulteraient,0.07
adulteration,0.07
aeroglisseur,0.0
aeronautique,0.48
aerospatiale,0.0
affabulation,1.01
affaiblissez,0.0
affairements,0.2
affaissaient,0.41
affaissement,1.35
affaisserait,0.07
affaisserent,0.14
affectassent,0.07
affectations,0.27
affectionnee,0.34
affectionner,0.2
affectionnes,0.07
affectionnez,0.14
affectueuses,1.22
affermissait,0.34
affermissant,0.34
affermissent,0.2
affiliations,0.0
affirmations,1.76
affleuraient,0.34
affleurement,0.47
affleurerent,0.14
affligeaient,0.07
affligeantes,0.27
afflueraient,0.07
affranchisse,0.47
affreusement,5.61
affriolantes,0.0
affriolerait,0.0
affrontaient,1.62
affrontement,2.43
affronterais,0.07
affronterait,0.41
affronterent,0.14
affronterons,0.0
affronteront,0.0
agenouillais,0.27
agenouillait,1.15
agenouillant,0.88
agenouillees,0.61
agenouillent,0.61
agenouillera,0.0
agenouillons,0.07
agglutinatif,0.07
agrandissait,1.01
agrandissant,0.47
agrandissent,0.54
agrandisseur,0.2
agrandissons,0.0
agreablement,3.65
agressivites,0.14
agriculteurs,1.08
agricultrice,0.0
aguerrissait,0.07
ahurissantes,0.14
ahurissement,1.76
aigrissaient,0.14
aiguillettes,0.2
aiguillonnee,0.14
aiguillonner,0.27
aiguillonnes,0.2
ajournements,0.07
ajouteraient,0.27
alanguissait,0.2
alanguissant,0.14
alanguissent,0.07
alarmeraient,0.0
alenconnaise,0.2
alexandrines,0.0
aligneraient,0.07
alimentaient,0.95
alimentaires,2.23
alimentation,4.19
alimenterent,0.07
allegoriques,0.68
allergologie,0.0
allergologue,0.0
alliteration,0.0
allobarbital,0.07
allocataires,0.0
allongeaient,2.43
allosterique,0.0
allumeraient,0.34
allusivement,0.14
alourdissait,1.69
alourdissant,0.41
alourdissent,0.68
alphabetique,1.69
alphabetiser,0.0
altercations,0.07
alternatives,0.48000000000000004
amaigrissait,0.07
amaigrissant,0.07
amalgamaient,0.14
amazoniennes,0.07
ambassadeurs,3.85
ambassadrice,3.58
ambitionnais,0.14
ambitionnait,0.41
ambitionnant,0.07
ambitionnent,0.07
ambivalences,0.07
ambulanciere,0.14
ambulanciers,0.88
amelioraient,0.2
ameliorateur,0.0
amelioration,2.23
