word,frequency
anthropologiquement,0.0
anticonceptionnelle,0.0
anticonstitutionnel,0.0
antipoliomyelitique,0.07
collaborationnistes,0.07
concentrationnaires,0.27
constitutionnaliste,0.0
conventionnellement,0.2
desintellectualiser,0.0
desoxyribonucleique,0.07
electrocardiogramme,0.34
incommensurablement,0.14
inconstitutionnelle,0.07
intellectualisation,0.0
interdepartementaux,0.0
interdisciplinaires,0.07
intergouvernemental,0.0
interministerielles,0.07
invraisemblablement,0.14
irreverencieusement,0.14
misericordieusement,0.07
multidimensionnelle,0.0
neuropsychologiques,0.0
perpendiculairement,1.15
postsynchronisation,0.07
precautionneusement,3.72
professionnellement,0.74
proportionnellement,0.34
psychopharmacologie,0.0
psychophysiologique,0.0
reapprovisionnement,0.14
reapprovisionnerait,0.07
revolutionnairement,0.0
stenodactylographie,0.07
thalassotherapeutes,0.07
transcendantalistes,0.07
transsubstantiation,0.34
